City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Rain,Snow
Bulawayo,ZW,2019-11-30 17:06:42,-20.16,28.59,80.87,15,7,9.24,0.0,0.0
New Norfolk,AU,2019-11-30 17:00:14,-42.78,147.06,50.0,53,90,9.17,0.0,0.0
Mataura,NZ,2019-11-30 17:00:21,-46.19,168.86,54.0,83,77,1.99,0.0,0.0
Mar Del Plata,AR,2019-11-30 17:00:27,-46.43,-67.52,60.87,30,56,13.58,0.0,0.0
Mount Pleasant,US,2019-11-30 17:06:43,33.16,-94.97,75.99,69,75,11.41,0.0,0.0
Namatanai,PG,2019-11-30 17:06:43,-3.66,152.44,82.98,70,70,6.6,0.0,0.0
Nyurba,RU,2019-11-30 17:06:43,63.29,118.35,-3.86,97,100,5.5,0.0,0.0
Liverpool,GB,2019-11-30 17:01:55,53.41,-2.98,39.0,93,0,11.41,0.0,0.0
Huarmey,PE,2019-11-30 17:06:44,-10.07,-78.15,80.73,43,12,11.72,0.0,0.0
Longyearbyen,NO,2019-11-30 17:00:15,78.22,15.63,12.2,43,100,28.86,0.0,0.0
Yumen,CN,2019-11-30 17:06:44,40.29,97.04,17.89,36,0,11.48,0.0,0.0
Vostok,RU,2019-11-30 17:00:17,46.45,135.83,11.93,81,100,3.83,0.0,0.0
Punta Arenas,CL,2019-11-30 17:00:00,-53.16,-70.91,55.4,43,20,21.92,0.0,0.0
Cape Town,ZA,2019-11-30 17:00:03,-33.93,18.42,69.8,49,33,12.75,0.0,0.0
Kapaa,US,2019-11-30 17:00:17,22.08,-159.32,77.0,73,75,24.16,0.0,0.0
Vaini,IN,2019-11-30 17:00:23,15.34,74.49,69.64,84,100,7.94,0.0,0.0
Nikolskoye,RU,2019-11-30 17:00:17,59.7,30.79,26.6,79,75,13.42,0.0,0.0
Ancud,CL,2019-11-30 17:06:46,-41.87,-73.83,55.4,66,75,9.17,0.0,0.0
Pringsewu,ID,2019-11-30 17:06:46,-5.36,104.98,72.54,98,0,2.28,0.0,0.0
Tucuman,PE,2019-11-30 17:06:47,-17.17,-70.89,72.7,20,65,15.95,0.0,0.0
Tasiilaq,GL,2019-11-30 17:00:33,65.61,-37.64,19.4,57,20,3.36,0.0,0.0
Hobart,AU,2019-11-30 16:57:29,-42.88,147.33,50.0,53,90,9.17,0.0,0.0
Albany,US,2019-11-30 17:00:14,42.65,-73.75,34.0,50,20,8.05,0.0,0.0
Kruisfontein,ZA,2019-11-30 17:06:48,-34.0,24.73,59.58,80,70,10.87,0.0,0.0
Bethel,US,2019-11-30 17:06:48,60.79,-161.76,21.2,92,1,12.75,0.0,0.0
Adrar,DZ,2019-11-30 17:06:48,27.87,-0.29,80.6,19,26,11.41,0.0,0.0
Luderitz,NA,2019-11-30 17:06:48,-26.65,15.16,71.6,64,6,29.97,0.0,0.0
Yulara,AU,2019-11-30 17:06:48,-25.24,130.99,64.4,42,0,4.7,0.0,0.0
Laguna,BZ,2019-11-30 17:06:49,16.17,-88.94,73.4,53,75,11.41,0.0,0.0
Jutai,BR,2019-11-30 17:06:49,-1.71,-47.89,95.14,40,39,3.18,0.0,0.0
Ushuaia,AR,2019-11-30 17:00:27,-54.81,-68.31,48.2,66,75,27.51,0.0,0.0
Leshan,CN,2019-11-30 17:06:49,29.56,103.76,46.6,78,98,3.74,0.0,0.0
Ler,NO,2019-11-30 17:06:49,63.2,10.3,35.6,69,75,21.92,0.0,0.0
Umm Lajj,SA,2019-11-30 17:06:50,25.02,37.27,73.58,65,8,5.84,0.0,0.0
Viedma,AR,2019-11-30 17:06:50,-40.81,-62.99,63.75,25,72,22.82,0.0,0.0
Lucapa,AO,2019-11-30 17:06:50,-8.42,20.74,70.97,91,94,2.66,1.38,0.0
Nanortalik,GL,2019-11-30 16:59:46,60.14,-45.24,38.57,83,100,19.82,2.06,0.0
Victoria,BN,2019-11-30 17:06:46,5.28,115.24,82.4,83,75,3.36,0.0,0.0
Busselton,AU,2019-11-30 17:00:12,-33.64,115.35,59.0,36,8,14.54,0.0,0.0
Gornopravdinsk,RU,2019-11-30 17:06:51,60.06,69.92,16.54,87,95,8.5,0.0,0.0
Veraval,FR,2019-11-30 17:06:51,49.65,0.71,42.8,86,100,16.11,0.0,0.0
Kaitangata,NZ,2019-11-30 17:06:52,-46.28,169.85,52.0,96,79,8.01,0.0,0.0
Butaritari,KI,2019-11-30 17:00:33,3.07,172.79,82.98,74,23,5.12,0.0,0.0
Kropotkin,RU,2019-11-30 17:06:53,45.43,40.58,46.26,79,70,13.69,0.0,0.0
Konotop,UA,2019-11-30 17:06:53,51.24,33.21,32.56,84,94,16.71,0.0,0.0
Erie,US,2019-11-30 17:02:55,42.13,-80.09,37.99,69,1,6.93,0.0,0.0
Airai,TL,2019-11-30 17:00:17,-8.93,125.41,66.47,86,56,2.06,0.0,0.0
Miyazu,JP,2019-11-30 17:06:54,35.58,135.2,34.66,86,0,5.75,0.0,0.0
Sucre,BO,2019-11-30 17:06:54,-19.05,-65.26,69.8,49,40,8.05,0.0,0.0
Carnarvon,ZA,2019-11-30 17:06:54,-30.97,22.13,72.09,9,92,11.48,0.0,0.0
Ribeira Grande,PT,2019-11-30 17:06:55,38.52,-28.7,68.0,94,40,10.29,0.0,0.0
Chokurdakh,RU,2019-11-30 17:00:14,70.62,147.9,-22.81,100,71,4.5,0.0,0.0
Kurchum,KZ,2019-11-30 17:06:55,48.57,83.65,3.83,75,35,4.32,0.0,0.0
Bredasdorp,ZA,2019-11-30 17:06:55,-34.53,20.04,71.6,46,32,17.22,0.0,0.0
Jamestown,AU,2019-11-30 17:06:55,-33.21,138.6,48.31,80,66,14.09,0.0,0.0
Valparaiso,US,2019-11-30 17:06:56,41.47,-87.06,37.4,100,90,10.29,0.0,0.0
Kavieng,PG,2019-11-30 17:06:56,-2.57,150.8,83.89,69,21,8.1,0.0,0.0
Ilo,PE,2019-11-30 17:06:56,-17.65,-71.34,73.4,69,65,5.82,0.0,0.0
Puerto Ayora,EC,2019-11-30 17:00:18,-0.74,-90.35,77.0,73,20,10.29,0.0,0.0
Vao,EE,2019-11-30 17:06:56,59.1,26.19,28.62,79,44,6.62,0.0,0.0
Aksarka,RU,2019-11-30 17:06:57,66.56,67.8,14.95,96,97,9.08,0.0,0.0
Shitanjing,CN,2019-11-30 17:00:34,39.23,106.34,28.0,28,99,3.0,0.0,0.0
Hermanus,ZA,2019-11-30 17:00:12,-34.42,19.24,66.99,73,8,5.99,0.0,0.0
Lavrentiya,RU,2019-11-30 17:06:57,65.58,-170.99,20.62,79,100,10.45,0.0,0.0
Dabakala,CI,2019-11-30 17:06:57,8.36,-4.43,82.81,22,11,1.7,0.0,0.0
Leshukonskoye,RU,2019-11-30 17:06:58,64.9,45.76,33.15,96,100,13.49,0.0,0.56
Castro,CL,2019-11-30 17:00:28,-42.48,-73.76,55.4,66,75,9.17,0.0,0.0
Narsaq,GL,2019-11-30 17:06:58,60.91,-46.05,41.0,48,75,3.36,0.0,0.0
Hilo,US,2019-11-30 17:00:29,19.71,-155.08,70.0,100,90,6.93,0.0,0.0
Ponta Do Sol,BR,2019-11-30 17:06:59,-20.63,-46.0,79.09,73,96,6.06,3.63,0.0
Baiquan,CN,2019-11-30 17:06:59,47.61,126.08,8.96,95,91,10.22,0.0,0.0
Nouadhibou,MR,2019-11-30 17:06:59,20.93,-17.03,69.8,73,20,9.17,0.0,0.0
Iqaluit,CA,2019-11-30 16:57:57,63.75,-68.52,23.0,67,75,11.41,0.0,0.0
Kahului,US,2019-11-30 17:00:08,20.89,-156.47,77.0,73,40,16.11,0.0,0.0
Leningradskiy,RU,2019-11-30 17:07:00,69.38,178.42,15.31,94,100,5.75,0.0,0.13
Tanete,ID,2019-11-30 17:07:00,-3.94,119.78,74.17,92,90,0.83,0.0,0.0
Saskylakh,RU,2019-11-30 17:00:15,71.97,114.09,-30.73,93,45,9.73,0.0,0.0
Mogadishu,SO,2019-11-30 17:07:00,2.04,45.34,81.61,78,0,16.71,0.0,0.0
Tuatapere,NZ,2019-11-30 17:07:01,-46.13,167.69,54.0,83,100,1.99,0.44,0.0
Abha,SA,2019-11-30 17:07:01,18.22,42.5,64.4,82,38,2.8,0.19,0.0
Aklavik,CA,2019-11-30 17:00:22,68.22,-135.01,14.0,85,90,4.7,0.0,0.0
Rikitea,PF,2019-11-30 17:00:13,-23.12,-134.97,77.79,76,56,6.58,0.0,0.0
Lata,IN,2019-11-30 17:07:01,30.78,78.62,16.66,21,0,4.07,0.0,0.0
Andros,GR,2019-11-30 17:07:02,37.83,24.93,66.2,67,72,5.82,0.0,0.0
Bluff,AU,2019-11-30 17:00:27,-23.58,149.07,70.63,72,12,0.29,0.0,0.0
Barrow,AR,2019-11-30 17:07:02,-38.31,-60.23,69.73,21,2,22.53,0.0,0.0
Coihaique,CL,2019-11-30 17:07:02,-45.58,-72.07,55.4,47,40,8.05,0.0,0.0
Caraquet,CA,2019-11-30 17:07:03,47.79,-64.94,33.01,58,75,11.41,0.0,0.0
Ust-Tsilma,RU,2019-11-30 17:07:03,65.44,52.15,31.5,88,100,10.8,0.0,0.31
